Year,ID,Name,Import,Export,ImpIDA,ImpIDB,ImpIDC,ImpIDD,ImpIDE,ImpIDF,ImpIDG,ImpIDH,ImpIDI,ImpIDJ,ImportA,ImportB,ImportC,ImportD,ImportE,ImportF,ImportG,ImportH,ImportI,ImportJ,ExpIDA,ExpIDB,ExpIDC,ExpIDD,ExpIDE,ExpIDF,ExpIDG,ExpIDH,ExpIDI,ExpIDJ,ExportA,ExportB,ExportC,ExportD,ExportE,ExportF,ExportG,ExportH,ExportI,ExportJ
2017,554,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,558,Nicaragua,1641.472,,320,222,,,,,,,,,1231.045,410.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,562,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,566,Nigeria,3.221,,124,,,,,,,,,,3.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,570,Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,574,Norfolk Isds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,579,Norway,188269.861,714931.608,752,208,528,643,246,,,,,,99463.299,80992.627,4003.941,2444.603,1365.391,,,,,,752,208,528,246,643,,,,,,346231.211,182467.926,176173.116,10058.349,1.006,,,,,
2017,580,N. Mariana Isds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,583,FS Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,584,Marshall Isds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,585,Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,586,Pakistan,33099.432,,364,,,,,,,,,,33099.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,591,Panama,3516.911,15376.07,320,222,,,,,,,,,3416.359,100.552,,,,,,,,,222,320,,,,,,,,,15372.662,3.408,,,,,,,,
2017,598,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,600,Paraguay,,2104509.852,,,,,,,,,,,,,,,,,,,,,076,032,,,,,,,,,1656758.352,447751.5,,,,,,,,
2017,604,Peru,201.967,,218,,,,,,,,,,201.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,608,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,612,Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,616,Poland,608861.026,385460.237,276,752,440,804,203,703,764,,,,364903.395,122008.329,63485.694,37429.653,21020.08,13.582,0.293,,,,703,203,440,752,276,,,,,,185860.092,171911.37,21193.733,5599.676,895.366,,,,,
2017,620,Portugal,184325.911,359343.772,724,,,,,,,,,,184325.911,,,,,,,,,,724,,,,,,,,,,359343.772,,,,,,,,,
2017,624,Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,626,Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
